Product,Region,Sales,Date
A,Jakarta,1300,2025-02-03
B,Bandung,3600,2025-02-06
C,Surabaya,?,2025-02-09
D,Jakarta,1700,2025-02-11
E,Bandung,2900,2025-02-14
A,Surabaya,abc,2025-02-17
B,,2100,2025-02-19
C,Bandung,2700,invalid_date
D,Surabaya,3400,2025-02-24
E,Jakarta,4200,2025-02-27
A,Bandung,1500,2025-02-01
B,Surabaya,2500,2025-02-02
C,Jakarta,2300,2025-02-04
D,Bandung,1700,2025-02-05
E,Surabaya,2700,2025-02-07
A,Jakarta,3000,2025-02-08
B,Bandung,?,2025-02-10
C,Surabaya,one thousand,2025-02-12
D,Jakarta,1600,2025-02-13
E,Bandung,2850,2025-02-15
A,Surabaya,3150,2025-02-16
B,Jakarta,,2025-02-18
C,Bandung,2600,2025-02-20
D,Surabaya,3350,2025-02-21
E,Jakarta,4150,2025-02-22
A,Bandung,NaN,2025-02-23
B,Surabaya,2400,2025-02-25
C,Jakarta,2200,2025-02-26
D,Jakarta,NaN,2025-02-28
E,Bandung,2600,2025-02-04
A,Surabaya,3400,2025-02-06
B,Jakarta,invalid,2025-02-08
C,Bandung,2800,2025-02-10
D,Surabaya,3500,2025-02-12
E,Jakarta,4000,2025-02-14
A,Bandung,1000,2025-02-16
B,Surabaya,2400,2025-02-18
C,Jakarta,2200,2025-02-20
D,Bandung,1700,2025-02-22
E,Surabaya,2700,2025-02-24
A,Jakarta,3000,2025-02-26
B,Bandung,?,2025-02-28
C,Surabaya,one thousand,2025-02-29
